rank,id,k_distance
0,537643,0.07327989710846361
1,537628,0.07360031533786715
2,537608,0.07440074830178056
3,537594,0.07566402657297278
4,537593,0.07618383287627672
5,537591,0.07784236251044785
6,537585,0.07816045762138135
7,537583,0.07855161106093211
8,537570,0.07856285652425965
9,537509,0.07917310773183239
10,537499,0.07947641709907338
11,537481,0.08033473219599263
12,537479,0.08033616542031796
13,537462,0.08063607070087464
14,537450,0.08100122912360885
15,537449,0.08138598797043473
16,537445,0.08170118823961237
17,537432,0.08190496187344354
18,537417,0.08205917930371354
19,537408,0.0821690915146085
20,537395,0.08246975719922478
21,537391,0.08249720106930725
22,537370,0.08291469144092245
23,537359,0.08294349880277962
24,537357,0.08296692131840533
25,537332,0.08309524812946312
26,537319,0.0831369014054768
27,537314,0.08316840563995109
28,537269,0.08316846216516693
29,537255,0.0832299943026884
30,537250,0.08374878408781394
31,537235,0.08376178448586691
32,537233,0.08383265710576082
33,537230,0.08388663164377719
34,537217,0.0838908321575812
35,537202,0.08395947197196652
36,537195,0.08403632988564713
37,537182,0.08424199413103028
38,537172,0.08426162852946428
39,537169,0.08455046747141859
40,537138,0.0847114363572774
41,537126,0.08488632405103291
42,537120,0.08493254541787343
43,537119,0.08504165111980999
44,537104,0.08507618743557432
45,537099,0.08509349055674875
46,537078,0.0850961453266218
47,537073,0.08526518563124086
48,537065,0.0852788962810892
49,537057,0.08533868514218668
50,537051,0.0853596946938382
51,537043,0.08545868307001137
52,537042,0.08548209688350794
53,537036,0.08561375237380164
54,537010,0.085670736921034
55,537004,0.0857730033929398
56,537000,0.08582149446131182
57,536999,0.08593551963998924
58,536991,0.08593760697808672
59,536984,0.08609679538275727
60,536983,0.08618842610690602
61,536982,0.0861978532281289
62,536977,0.0863906178651479
63,536974,0.08645371163813753
64,536963,0.08647767440269016
65,536951,0.08650746745479165
66,536929,0.08656212623349235
67,536914,0.08660083422867049
68,536909,0.08666658344299094
69,536875,0.0867218880823325
70,536856,0.08684127436243716
71,536853,0.0868747700541821
72,536825,0.08702079558610976
73,536822,0.08703256081074606
74,536821,0.0870936733561335
75,536816,0.08710341207991112
76,536815,0.08717929462435836
77,536812,0.08722934165516039
78,536811,0.08726000104260756
79,536784,0.08736727342830186
80,536766,0.0874086585047934
81,536763,0.08756775653789362
82,536757,0.08758056579581686
83,536748,0.08758945689820186
84,536708,0.08766129715570825
85,536685,0.08777620573882272
86,536684,0.08791145795425215
87,536680,0.08807539872372183
88,536674,0.08812256340739966
89,536666,0.08813894074164619
90,536655,0.08832138121139466
91,536649,0.08833281492557887
92,536634,0.08836020589834348
93,536618,0.08847596680694159
94,536610,0.0886411494714987
95,536609,0.0887491366681229
96,536606,0.08903909813160149
97,536602,0.08921675186402023
98,536594,0.08927406323944376
99,536590,0.08932224782745335
100,536587,0.08941171762104638
101,536571,0.08941220831350916
102,536568,0.08945050891739137
103,536559,0.08949279643901387
104,536543,0.08950289678453904
105,536538,0.08958331776856032
106,536527,0.08962305216345046
107,536525,0.08969398011087104
108,536498,0.08987093177720062
109,536495,0.08988501382198544
