rank,id,k_distance
0,537643,0.028395908713058082
1,537628,0.028509658206593902
2,537608,0.028887112459579534
3,537594,0.029127256652307643
4,537593,0.029670723505791252
5,537591,0.030017951639499496
6,537585,0.03023361866790575
7,537583,0.030440444699592395
8,537570,0.03073350180441148
9,537509,0.030967188394335765
10,537499,0.03107043912976637
11,537481,0.031154725788776094
12,537479,0.03127584622656754
13,537450,0.031279505579493105
14,537462,0.031279505579493105
15,537449,0.03139653706179113
16,537445,0.03172762756280656
17,537432,0.03177345808273713
18,537417,0.03194236095389913
19,537408,0.0322529832889088
20,537395,0.03239723544555417
21,537391,0.0324466966496445
22,537370,0.03264453203373274
23,537359,0.032722306368372145
24,537357,0.0328881343412053
25,537332,0.032908990010595884
26,537319,0.03296263248741216
27,537314,0.03301709106069206
28,537269,0.03305936265582177
29,537255,0.03315610553117421
30,537250,0.03359080741706033
31,537235,0.03367366393388194
32,537233,0.03377602124127699
33,537230,0.03451683374026926
34,537217,0.03465014417460455
35,537202,0.0347825472348422
36,537195,0.034802502152300296
37,537182,0.03489975444994586
38,537172,0.03492275765056185
39,537169,0.03495171965753674
40,537138,0.03526749949235719
41,537126,0.035271176103514046
42,537120,0.03531398592703838
43,537119,0.035369007170358735
44,537104,0.03538418406774768
45,537099,0.035811567888491935
46,537078,0.036156803482359834
47,537073,0.036156803482359834
48,537065,0.036309085956349296
49,537057,0.0363287976215263
50,537051,0.036649206306419435
51,537043,0.03667573452898287
52,537042,0.03670682051634677
53,537036,0.03680784375305768
54,537010,0.03687862948942966
55,537004,0.03698746184427493
56,537000,0.03711372071330221
57,536999,0.03712810298259095
58,536991,0.03717524566158592
59,536984,0.0372409274152844
60,536983,0.03731941358279012
61,536982,0.03734925248260834
62,536977,0.03738957355325967
63,536974,0.03740148323260317
64,536963,0.0374514566480022
65,536951,0.037487244510656104
66,536929,0.03752643721872473
67,536914,0.03756399932301646
68,536909,0.03776390441550026
69,536875,0.037767897703394615
70,536856,0.037774411466547475
71,536853,0.03780835718418818
72,536825,0.03784636340205094
73,536822,0.037879623905132886
74,536821,0.03790623559722983
75,536816,0.03792314894745197
76,536815,0.03793508246602839
77,536812,0.038056621224198284
78,536811,0.0380653914724155
79,536784,0.03808493747895891
80,536766,0.03811836622198783
81,536763,0.03821256657920136
82,536757,0.038232952660597674
83,536748,0.03825383332794985
84,536708,0.03825685703922954
85,536685,0.038324269323288584
86,536684,0.03841867484281414
87,536680,0.03852762814845956
88,536674,0.03853832574631544
89,536666,0.03855584630396458
90,536655,0.03855599032424628
91,536649,0.03860687807249885
92,536634,0.03860811334805714
93,536618,0.038660006527766244
94,536610,0.038669288508794475
95,536609,0.03876654181562911
96,536606,0.038788786585516544
97,536602,0.03887422379713479
98,536594,0.03887794074922135
99,536590,0.038952336954014566
100,536587,0.03902199327757483
101,536571,0.03903019096584337
102,536568,0.0391458649158668
103,536559,0.03926391467243773
104,536543,0.03928305483056793
105,536538,0.03933427488268715
106,536527,0.039377110158791195
107,536525,0.03942642548849995
108,536498,0.03943213593971173
109,536495,0.0394763705268224
110,536483,0.03948813847609123
111,536479,0.039533342124113635
112,536468,0.03953914300581696
113,536457,0.039547903456840894
114,536455,0.039557674978178636
115,536449,0.03957814319648956
116,536440,0.03961913625393054
117,536438,0.03965027159654955
118,536434,0.039662306855829055
119,536429,0.03967230931266941
120,536419,0.0397107191205196
121,536412,0.039726974888760425
122,536411,0.039729661797266
123,536403,0.03995658910868394
124,536394,0.039972366014727534
125,536390,0.04003334525648705
126,536355,0.04007496688888357
127,536336,0.04017713666702216
128,536320,0.04018407287109582
129,536314,0.04023202646941493
130,536307,0.040245305860425185
131,536282,0.04036942680609057
132,536281,0.040522473078147936
133,536275,0.040564808490814896
134,536270,0.040595430098964824
135,536256,0.04062314976031478
136,536246,0.04068258497389854
137,536244,0.04078605261982671
138,536218,0.040806720812553654
139,536217,0.040824800267766914
140,536174,0.04107053211002676
141,536169,0.04107143177614314
142,536160,0.04107338736778998
143,536146,0.041087350250440635
144,536143,0.041087350250440635
145,536142,0.041098182966021524
146,536124,0.04111066957610521
147,536105,0.04111537192709447
148,536091,0.04112219505905412
149,536057,0.04116346471342114
150,536054,0.04118384560389576
