rank,id,k_distance
0,537643,0.029588400085526323
1,537628,0.030177195151189884
2,537608,0.030309721188779948
3,537594,0.030461650999056733
4,537593,0.0306568930619302
5,537591,0.03092861694028559
6,537585,0.03104362759372037
7,537583,0.03108731154956723
8,537570,0.031593473892765345
9,537509,0.031820298545675585
10,537499,0.03186365082159037
11,537481,0.03205360827862813
12,537479,0.03206789145046385
13,537462,0.032166234767352364
14,537450,0.032610964358187666
15,537449,0.03289036276555868
16,537445,0.032955946097516176
17,537432,0.032967055903546316
18,537417,0.033045695153225196
19,537408,0.03311968812735333
20,537395,0.03316485814963588
21,537391,0.033188657533942845
22,537370,0.03331857277794903
23,537359,0.033390419455017195
24,537357,0.033466721958629875
25,537332,0.03364668097565304
26,537319,0.03366099786033949
27,537314,0.033891938270802724
28,537269,0.03396342087881532
29,537255,0.03397451534039564
30,537250,0.03400062407719395
31,537235,0.034112431632429385
32,537233,0.03430937940465173
33,537230,0.0343206550983145
34,537217,0.03438625031939446
35,537202,0.034485782036384305
36,537195,0.03452213925634351
37,537182,0.034554875277166275
38,537172,0.034619361339862875
39,537169,0.03466780342067499
40,537138,0.03478285561344685
41,537126,0.03479888991592395
42,537120,0.03481896084975655
43,537119,0.034830789623358505
44,537104,0.03490399009777767
45,537099,0.03507616100905553
46,537078,0.035107432277657113
47,537073,0.03514496793152644
48,537065,0.03526301160975276
49,537057,0.03527529356520842
50,537051,0.03532611308709399
51,537043,0.035401221659963955
52,537042,0.03544682770070395
53,537036,0.035496931868048254
54,537010,0.03554916129777863
55,537004,0.035606395411496905
56,537000,0.03561912455510119
57,536999,0.03570759891720521
58,536991,0.035736012804604034
59,536984,0.0358801696478781
60,536983,0.035904059519935805
61,536982,0.03602641327896461
62,536977,0.036066983385932394
63,536974,0.036093532077587254
64,536963,0.036106086114117586
65,536951,0.03617328636214501
66,536929,0.03628044670387354
67,536914,0.03634621121503501
68,536909,0.036384271225881504
69,536875,0.036408543165107776
70,536856,0.03643805390782884
71,536853,0.036438883093386165
72,536825,0.0364925037859658
73,536822,0.03655408073750588
74,536821,0.03662377149329443
75,536816,0.03664036588769748
76,536815,0.03664120505612567
77,536812,0.03664162065417398
78,536811,0.03666125574116097
79,536784,0.036704449795352034
80,536766,0.036860125714402225
81,536763,0.036974583391071514
82,536757,0.03697730960884682
83,536748,0.03703423385905347
84,536708,0.03703546875705299
85,536685,0.03705461697480428
86,536684,0.037131519736518404
87,536680,0.0371489004743093
88,536674,0.03721021274555092
89,536666,0.03721170540113339
90,536655,0.03723214732591451
91,536649,0.037255261722365485
92,536634,0.03726770004730551
93,536618,0.03730671774164196
94,536610,0.03731097536682826
95,536609,0.03731950249339433
96,536606,0.037341415156400104
97,536602,0.03737825388579885
98,536594,0.037381558134968684
99,536590,0.0374055086923909
100,536587,0.03740925850789789
101,536571,0.037412995768197455
102,536568,0.03743013535837192
103,536559,0.037453182319472256
104,536543,0.03745833547710897
105,536538,0.037509839513988674
106,536527,0.03751336796150506
107,536525,0.03754483769090755
108,536498,0.037554856501521905
109,536495,0.03755755061023158
110,536483,0.037587152362392295
111,536479,0.037595730542854255
112,536468,0.037596785108336084
113,536457,0.0376775052803493
114,536455,0.03769942559251849
115,536449,0.037768217535575466
116,536440,0.03778735709195469
117,536438,0.037861002890351214
118,536434,0.03786876104024739
119,536429,0.037870874837151014
120,536419,0.03787175781329688
121,536412,0.037874379754089804
122,536411,0.03788184634383729
123,536403,0.03789919469792147
124,536394,0.03790745333652257
125,536390,0.037931597500978076
126,536355,0.037978379853281785
127,536336,0.038033922558335376
128,536320,0.03804213935559064
129,536314,0.038043810404093215
130,536307,0.038075869634980664
131,536282,0.0381322814772187
132,536281,0.038136339927256624
133,536275,0.038176457220287396
134,536270,0.03818387402671497
135,536256,0.03818615767989808
136,536246,0.03821202112384203
137,536244,0.03822365700162411
138,536218,0.03822587052571225
139,536217,0.03823151791342971
140,536174,0.038248186256008454
141,536169,0.038250232097249426
142,536160,0.03825287177730197
143,536146,0.0382594973546212
144,536143,0.038304245827949224
145,536142,0.03835340155910283
146,536124,0.038411163604359366
147,536105,0.038412284302972055
148,536091,0.038462616084253054
149,536057,0.038470832233039154
