rank,id,k_distance
0,537608,2.1616042289451798e-13
1,537643,2.1616042289451798e-13
2,537628,2.1616042289451798e-13
3,537594,2.795541576006144e-13
4,537591,2.843281166065026e-13
5,537593,2.843281166065026e-13
6,537585,2.8621549574836536e-13
7,537583,2.937650123158164e-13
8,537570,2.937650123158164e-13
9,537509,2.937650123158164e-13
10,537499,3.488320743372242e-13
11,537481,0.009891720484205613
12,537479,0.010913399813012203
13,537462,0.013062510565891472
14,537450,0.013207322574706692
15,537449,0.013386913017847002
16,537445,0.013428682291024008
17,537432,0.014204043740099204
18,537417,0.014299662796554924
19,537408,0.014579655684571313
20,537395,0.014762516779845303
21,537391,0.014997839932966883
22,537370,0.01502821831664658
23,537359,0.015142895650723576
24,537357,0.015216275618731512
25,537332,0.015216279371848995
26,537319,0.015216279371848995
27,537314,0.015332930415391743
28,537269,0.015502348020330126
29,537255,0.015621681973457036
30,537250,0.016173964961762488
31,537235,0.016730361075316225
32,537233,0.01675944757350145
33,537230,0.016910693655460385
34,537217,0.01698804234361806
35,537202,0.0170409686374986
36,537195,0.01706500312406667
37,537182,0.017356059613527597
38,537172,0.017389731158700017
39,537169,0.01740946272077326
40,537138,0.01745993887755981
41,537126,0.0175789566369825
42,537120,0.0175913916293422
43,537119,0.01762899065486845
44,537104,0.017636302795490333
45,537099,0.01764171445403595
46,537078,0.017656542430084743
47,537073,0.017904254602009062
48,537065,0.017931891564504143
49,537057,0.018034094277929458
50,537051,0.018094483667708272
51,537043,0.018248898953952986
52,537042,0.018250649747263648
53,537036,0.018378904758901027
54,537010,0.01839434859878386
55,537004,0.01840980003114956
56,537000,0.018416884609030015
57,536999,0.018474514832221844
58,536991,0.01852408927871685
59,536984,0.01854029448979777
60,536983,0.018543966932521694
61,536982,0.018636670945200606
62,536977,0.01871310804818449
63,536974,0.018759812784628016
64,536963,0.0187731481489557
65,536951,0.018821704704519382
66,536929,0.018896135014797033
67,536914,0.01890429057779497
68,536909,0.01896100172388615
69,536875,0.018962461797750962
70,536856,0.019094442670758327
71,536853,0.01912267954025526
72,536825,0.019203309939239688
73,536822,0.019312602147957048
74,536821,0.019371195512996597
75,536816,0.019449509162436596
76,536815,0.019587015097534577
77,536812,0.019646618661497417
78,536811,0.01967235301053849
79,536784,0.019721498076328614
80,536766,0.019722496584167137
81,536763,0.019782758348576013
82,536757,0.019830407984328224
83,536748,0.020000001885256857
84,536708,0.02008074575109131
85,536685,0.020081854847286418
86,536684,0.020097377383183734
87,536680,0.02015178295719189
88,536674,0.020161971781508914
89,536666,0.020183907320169725
90,536655,0.02020159627896212
91,536649,0.02020159627896212
92,536634,0.020331421783630788
93,536618,0.020352749840726547
94,536610,0.020374644574461587
95,536609,0.020401796503505598
96,536606,0.020511008469590197
97,536602,0.020684319982572363
98,536594,0.02089663590820423
99,536590,0.021006538247472895
100,536587,0.021012254661375684
101,536571,0.02110120878638211
102,536568,0.02127044679102641
103,536559,0.021299903507250972
104,536543,0.02130315167621033
105,536538,0.021308194731273766
106,536527,0.021412199564289525
107,536525,0.02142587594080425
108,536498,0.021442253204945194
109,536495,0.0214438908800183
110,536479,0.02144390803428642
111,536483,0.02144390803428642
112,536468,0.021574119664136915
113,536457,0.02161479978946923
114,536455,0.021671346298519634
115,536449,0.021671346298519634
116,536440,0.021716704522675823
117,536438,0.02174805399608315
118,536429,0.021910083905069433
119,536434,0.021910083905069433
120,536419,0.02195675900788041
121,536412,0.021961101890504042
122,536411,0.022019989891377212
123,536403,0.022020185201053644
124,536394,0.022026266797814387
125,536390,0.022026266797814387
126,536355,0.022131629690000487
127,536336,0.022174411420840867
128,536320,0.022218095037444985
129,536314,0.022221206173990926
130,536307,0.02231607772777533
131,536282,0.02235329593392832
132,536281,0.02245601104284034
133,536275,0.022467743188387512
134,536270,0.02251108611775665
135,536256,0.022516320873260054
136,536246,0.022584946100932646
137,536244,0.02261057377109288
