rank,id,k_distance
0,537643,0.01647568443456815
1,537628,0.017328890849076406
2,537608,0.017431984252057275
3,537594,0.017832437413109248
4,537593,0.018122725137957985
5,537591,0.018318336289879222
6,537585,0.018678324096679466
7,537583,0.018738842386920918
8,537570,0.01876547139776885
9,537509,0.018918364572684365
10,537499,0.018931773759511272
11,537481,0.018991444662141865
12,537479,0.01900122941103599
13,537462,0.019057889157100938
14,537450,0.019184800089353526
15,537449,0.019266317265706046
16,537445,0.019471885883667217
17,537432,0.019774369131518643
18,537417,0.019988999953787
19,537408,0.01999821752462594
20,537391,0.020088982058181548
21,537395,0.020088982058181548
22,537370,0.020220558657255583
23,537359,0.020227319277880573
24,537357,0.020262652225495392
25,537332,0.02028145477730159
26,537319,0.02033530351747448
27,537314,0.020425832732856697
28,537269,0.020641847989180784
29,537255,0.02064731624773475
30,537250,0.020740769902926615
31,537235,0.02074827937312307
32,537233,0.02074973041224437
33,537230,0.020774613163415334
34,537217,0.020780510106613526
35,537202,0.02078215566031516
36,537195,0.02079032870846953
37,537182,0.02079600905893597
38,537172,0.02089300793513793
39,537169,0.020920302459072726
40,537138,0.02096625719071077
41,537126,0.021143759602929912
42,537120,0.021180632817953793
43,537119,0.02118583649728234
44,537104,0.02120706656733995
45,537099,0.02126755562708238
46,537078,0.02129775509854659
47,537073,0.021334292289287182
48,537065,0.02142802336048122
49,537057,0.02143393513649494
50,537051,0.021448726944145236
51,537043,0.021535381563281275
52,537042,0.021570300037379475
53,537036,0.02169812579671837
54,537010,0.021720490721780283
55,537004,0.021771040125904473
56,537000,0.02188781840440923
57,536999,0.021965318998836025
58,536991,0.021977633224908755
59,536984,0.0220233035759978
60,536983,0.02215880120685132
61,536982,0.02216408260944891
62,536977,0.022205907753067855
63,536974,0.02223328923611112
64,536963,0.022321455739292784
65,536951,0.022379123367483156
66,536914,0.022575828151158994
67,536929,0.022575828151158994
68,536909,0.022592890969818313
69,536875,0.022630870888622034
70,536856,0.022686216002194892
71,536853,0.022701176934559864
72,536825,0.022745968774736114
73,536822,0.02275103805584111
74,536821,0.02277902923887054
75,536816,0.02280991576967817
76,536815,0.022821515917637925
77,536812,0.022821515917637925
78,536811,0.022840948960756058
79,536784,0.022862255740725868
80,536766,0.02288255766027225
81,536763,0.023092858530455507
82,536757,0.02318105076132526
83,536748,0.023246823052800236
84,536708,0.023301956762509568
85,536685,0.023346971710852538
86,536684,0.023350969188942083
87,536680,0.023442631016462157
88,536674,0.02345001540832148
89,536666,0.023453825366306136
90,536655,0.023457542626552308
91,536649,0.023483114713364173
92,536634,0.023508954338941845
93,536618,0.02354025313095698
94,536610,0.02356241591921926
95,536609,0.023595441077146395
96,536606,0.02362751880882108
97,536602,0.023632881367176783
98,536594,0.02366069796341519
99,536590,0.023664626910892772
100,536587,0.02369478595797503
101,536571,0.023695669842519473
102,536568,0.02372481459301834
103,536559,0.023748531023606967
104,536543,0.023759685330022484
105,536538,0.02377135776597805
106,536527,0.023856072908911674
107,536525,0.023865425231121784
108,536498,0.023866821964592777
109,536495,0.023915189860200803
110,536483,0.023916026924320044
111,536479,0.023916923589164307
112,536468,0.024071641057880955
113,536457,0.02407899142544645
114,536455,0.024125511155732138
115,536449,0.024139852199613454
116,536440,0.024150675430007373
117,536438,0.02415890959632727
118,536434,0.024166966465953843
119,536429,0.024248772816831687
120,536419,0.024249838579244454
121,536412,0.024298088607913937
122,536411,0.02434121697313274
123,536403,0.02434429425813389
124,536394,0.02437116830009345
125,536390,0.024377552201864883
126,536355,0.02444995236002745
127,536336,0.024462490391554903
128,536320,0.024481926676521937
129,536314,0.024499907291767653
130,536307,0.02450008370000034
131,536282,0.024504259523054905
132,536281,0.024520481305506214
133,536275,0.02452058974617266
134,536256,0.02452518659894065
135,536270,0.02452518659894065
136,536246,0.02457497001624942
137,536244,0.024577727570274877
138,536218,0.024609788193625137
139,536217,0.024637712530980682
140,536174,0.024724546669812164
141,536169,0.024770817964351655
142,536160,0.024770984587126232
143,536146,0.0247874717598221
144,536143,0.0247874717598221
145,536142,0.02486904740172058
146,536124,0.024880479934065725
147,536105,0.024884941120070003
148,536091,0.024887441162573576
149,536057,0.024913914225461298
150,536054,0.02491489487231835
151,536053,0.024954182410025005
152,536044,0.025097024169271398
153,536037,0.02512756074848832
154,536030,0.025137370005441473
155,536034,0.025137370005441473
156,536016,0.02521849646184715
157,536003,0.025230431507520246
158,535988,0.02527426558037149
159,535985,0.02528030853494756
160,535978,0.02540127989314145
161,535968,0.025412930656923072
162,535966,0.02542143706553046
163,535908,0.025441137046251616
164,535891,0.025443807025723908
165,535868,0.025458851832566243
166,535863,0.025466823759728197
167,535860,0.025472446593511888
168,535856,0.02548485829689784
169,535853,0.025511479600540454
170,535847,0.0255382545408257
171,535825,0.025540394179286885
172,535800,0.025578928989898553
173,535793,0.02559853917238808
174,535780,0.025599873074574897
175,535787,0.025599873074574897
176,535774,0.025607561560866188
177,535763,0.025613055982821598
178,535754,0.025615890537361352
179,535753,0.02563713838532522
180,535747,0.02563942399434116
181,535737,0.025648286376260043
182,535732,0.025655102152201237
183,535726,0.02569124479374507
184,535713,0.025705291080582837
185,535704,0.025723181228556102
186,535690,0.025760694592861344
187,535687,0.025793489119497193
188,535683,0.025810306271695227
189,535679,0.02590250557428264
190,535676,0.025973741685186846
191,535651,0.02598067852784769
192,535642,0.026007000941330793
193,535636,0.026098443628464585
194,535623,0.026099893927337914
195,535618,0.02611204753928642
196,535616,0.02613095193816717
197,535604,0.026205621940208146
198,535591,0.02625154391311113
199,535583,0.02626974389321457
200,535507,0.026283494854209333
201,535502,0.02629666825680599
202,535500,0.026306692631388184
203,535489,0.02631989978355831
204,535484,0.026362176695527317
205,535471,0.026378252325249152
206,535463,0.026387096226411888
207,535436,0.02639694273129578
208,535435,0.026405540229423208
209,535426,0.02642139123731202
210,535421,0.026428149014486313
211,535419,0.026438793228889645
212,535411,0.026445163159920626
213,535405,0.02644802632069121
214,535395,0.02645723875398953
215,535392,0.026460127226710317
216,535345,0.02646361203601777
217,535318,0.02648050439576477
218,535305,0.026607640511411068
219,535303,0.026614094187367154
220,535302,0.026649086829369395
221,535297,0.02665141408232463
222,535296,0.026652251067064703
223,535291,0.02671083442569766
224,535288,0.026725279064527707
225,535274,0.026753350221741856
226,535268,0.026820112698858534
227,535240,0.02686160338154453
228,535237,0.02689029509651275
229,535234,0.026930654005998367
230,535225,0.026930654005998367
231,535219,0.02695423288116383
232,535215,0.02699380189182321
233,535175,0.026998037021669585
234,535170,0.026998037021669585
235,535150,0.027037855224038454
236,535147,0.027038419983080764
237,535142,0.027074504832415913
238,535135,0.02707804650233303
239,535131,0.02712254652615842
240,535125,0.027131903998005136
241,535119,0.027141796212062363
242,535113,0.027144994949129808
243,535094,0.027151242747708748
244,535075,0.027157910204852476
245,535066,0.02720082763022036
246,535057,0.02722970731384944
247,535054,0.02726095991245625
248,535033,0.02727486154459502
249,535032,0.027284750190986418
250,535030,0.027306837290252295
251,535029,0.027308093407132805
252,535019,0.027308093407132805
253,535003,0.027313760564037448
254,534995,0.02732075213894447
255,534994,0.027323933328404326
256,534986,0.027335087874020392
257,534974,0.027363074792018605
258,534966,0.027370743152920096
259,534965,0.027388687762692432
260,534956,0.027388910992888205
261,534955,0.027413880415940284
262,534949,0.027423976763664815
263,534935,0.027449089867664922
264,534918,0.02746072967481239
265,534906,0.02746147200343796
266,534902,0.02753040077865032
267,534896,0.027569019691518815
268,534892,0.027575342863401242
269,534865,0.02757846112545459
270,534857,0.027624228684603458
271,534848,0.02762530841466615
272,534837,0.02763774711325795
273,534826,0.027639724452357517
274,534812,0.027676328909877257
275,534794,0.027696628835288006
276,534761,0.027703130773797158
277,534750,0.02771967815660681
278,534745,0.02773426235432308
279,534706,0.027736563921198276
280,534688,0.02774726704367736
