rank,id,k_distance
0,537643,0.04906466015022892
1,537628,0.05004136435335438
2,537608,0.05047698786418264
3,537594,0.05092826943667872
4,537593,0.05120986169845154
5,537591,0.05197341157746549
6,537585,0.0520780525540574
7,537583,0.05227084441260099
8,537570,0.05250217969475668
9,537509,0.05256796677549469
10,537499,0.052583001244713934
11,537481,0.052873123241525044
12,537479,0.052937224054094845
13,537462,0.05353683329813497
14,537450,0.05358453078648451
15,537449,0.054123999495889086
16,537445,0.054377321662695044
17,537432,0.05444970693071716
18,537417,0.05457044593336091
19,537408,0.05460315335459509
20,537395,0.054612020578580944
21,537391,0.05492706630622157
22,537370,0.05493079417334634
23,537359,0.05525185869013216
24,537357,0.05526195086468255
25,537332,0.055556278112491086
26,537319,0.05577803175918594
27,537314,0.055903114922634334
28,537269,0.056107788258099034
29,537255,0.056291563335522765
30,537250,0.05637679809287155
31,537235,0.05639141579557572
32,537233,0.05667702287275833
33,537230,0.05670844265664543
34,537217,0.056912630301509615
35,537202,0.05695465960983892
36,537195,0.057046039815902394
37,537182,0.05711950111026054
38,537172,0.057420772925698804
39,537169,0.05743742598584367
40,537138,0.05745552529486009
41,537126,0.057520412325789416
42,537120,0.057545346784202867
43,537119,0.057545346784202867
44,537104,0.05758521924126425
45,537099,0.05759459307395787
46,537078,0.05772163700176902
47,537073,0.057857834442674116
48,537065,0.05793905380661146
49,537057,0.05807324132750957
50,537051,0.05820635224754278
51,537043,0.0582552710885722
52,537042,0.0582642084047601
53,537036,0.05836974908974746
54,537010,0.05854814058668678
55,537004,0.058687341369991985
56,537000,0.05871556450981452
57,536999,0.05882327963769152
58,536991,0.0589045439003848
59,536984,0.05891767473579512
60,536983,0.058946727356008144
61,536982,0.05897062410166343
62,536977,0.05902269864260257
63,536974,0.05907959564370757
64,536963,0.05909479988059363
65,536951,0.05915954534931911
66,536929,0.059325846618302536
67,536914,0.059439474006508286
68,536909,0.05946370413344515
69,536875,0.05961380772585534
70,536856,0.0596300788780918
71,536853,0.05964472111011787
72,536825,0.05967063664852157
73,536822,0.05970961536192332
74,536821,0.05973867393646026
75,536816,0.05979761838721387
76,536815,0.05985731067753419
77,536812,0.05989240392634909
78,536811,0.05990053974418563
79,536784,0.05994752710108009
80,536766,0.05996227492053463
81,536763,0.05997201080991954
82,536757,0.05998122210435064
83,536748,0.05998932110786326
84,536708,0.06002727924284368
85,536685,0.060063713728869206
86,536684,0.06008314453661989
87,536680,0.06040078020047268
88,536674,0.06045118230652824
89,536666,0.06046944479792604
90,536655,0.06049902465581802
91,536649,0.06050907143527906
92,536634,0.060544649118233096
93,536618,0.06060481644341764
94,536610,0.06063802754509573
95,536609,0.06065770401181203
96,536606,0.060662699803343156
97,536602,0.06075147085466992
98,536594,0.0608080112989402
99,536590,0.06089698672868282
100,536587,0.060914310942780214
101,536571,0.06094850145411235
102,536568,0.06103157990676711
103,536559,0.06109540782967471
104,536543,0.06109848855207356
105,536538,0.061101977609558156
106,536527,0.06117016009566767
107,536525,0.06120163258416633
108,536498,0.06121718218604555
109,536495,0.06123345596866858
110,536483,0.06129080877311732
111,536479,0.06129586959732347
112,536468,0.06129603941972328
113,536457,0.061308825151865864
114,536455,0.06133375744396563
115,536449,0.06133827365241795
116,536440,0.061405577670722744
117,536438,0.061500321816996495
118,536434,0.06155550150212896
119,536429,0.06156442328469247
120,536419,0.061683336097075325
121,536412,0.06171197879672108
122,536411,0.06175211475792142
123,536403,0.061787483729464854
124,536394,0.06180941562054443
125,536390,0.06181134271247135
126,536355,0.06181607229065644
127,536336,0.061827680210552405
128,536320,0.06184940704190123
129,536314,0.06185098341107176
130,536307,0.06187499376494354
131,536282,0.06202364354690337
132,536281,0.06207545048610996
133,536275,0.06210097279579452
134,536270,0.06211059045977829
135,536256,0.06213110776591757
136,536246,0.062172714410572594
137,536244,0.06218132189845449
138,536218,0.062242071562896406
139,536217,0.06226685709602009
140,536174,0.06231284665024717
141,536169,0.062343628180726585
142,536160,0.062348636041660965
143,536146,0.06235972821294511
144,536143,0.06237653978754498
145,536142,0.062399113733092815
146,536124,0.06242628577590803
147,536105,0.06243903752202051
148,536091,0.06247870406391043
149,536057,0.06250063195879774
150,536054,0.06253748077196808
151,536053,0.06254220499269536
152,536044,0.06268931778532072
153,536037,0.06271211157088785
154,536034,0.06275455509621519
155,536030,0.06276965848219707
156,536016,0.06281666893521465
157,536003,0.06293929249378738
158,535988,0.06295299483354588
159,535985,0.06300143737519803
160,535978,0.06312545327043217
161,535968,0.06316889833103356
162,535966,0.06318498112147097
163,535908,0.06321079672193264
164,535891,0.06325849050329646
165,535868,0.0633419000599087
166,535863,0.06338369960482093
167,535860,0.06338828150679243
168,535856,0.06340889597232957
169,535853,0.06343221195002036
170,535847,0.06351561470822586
171,535825,0.06356530852657416
172,535800,0.06357186906142442
173,535793,0.06360651871267031
174,535787,0.06365357331318622
175,535780,0.06369205376573006
176,535774,0.06371197302119247
177,535763,0.06371261745475632
178,535754,0.06372817803194386
179,535753,0.0637535238944511
180,535747,0.06382424178053958
181,535737,0.06382670091286557
182,535732,0.06383524434877474
183,535726,0.06384998005220799
184,535713,0.06385728893564024
185,535704,0.06386179107106316
186,535690,0.0638698968693121
187,535687,0.06392095673048981
188,535683,0.06393285355127176
189,535679,0.06396028463348102
190,535676,0.06398797038591619
191,535651,0.06403920652991313
192,535642,0.06406150416025647
193,535636,0.06406468676103727
194,535623,0.0640806229623595
195,535618,0.06412478342829919
196,535616,0.06414033899743043
197,535604,0.06414795660640171
198,535591,0.0641756508042719
199,535583,0.06422342622194988
200,535507,0.06424562238941744
201,535502,0.06424562831132041
202,535500,0.06424655905595289
203,535489,0.06431714339859762
204,535484,0.06433285766297925
205,535471,0.06433428598635527
206,535463,0.06439421839703263
207,535436,0.06442439697402935
208,535435,0.06446307766315873
209,535426,0.0644860030663078
210,535421,0.06457038081033839
211,535419,0.06459143727547978
212,535411,0.06460882343836827
213,535405,0.06464330202945734
214,535395,0.06465041614019607
215,535392,0.06466090876883279
216,535345,0.06473326338654806
217,535318,0.06475408127805693
218,535305,0.06476864388188786
219,535303,0.06481711580399652
220,535302,0.06481778803262339
221,535297,0.06483379453168947
222,535296,0.06487053515375019
223,535291,0.06493502353542058
224,535288,0.0649678442632291
225,535274,0.06497615740935458
226,535268,0.06501706962477005
227,535240,0.06503292554640139
228,535237,0.06503665278867321
229,535234,0.06506047549716942
230,535225,0.06508121691263469
231,535219,0.06514818666927535
232,535215,0.06517746819315018
